ID,OneHotEncoder,LetterComposition
51,[0 0 0 ... 0 0 1],"[0.08467742 0.         0.0141129  0.05241935 0.07258065 0.03830645
 0.05846774 0.03024194 0.05241935 0.         0.02822581 0.125
 0.01612903 0.00806452 0.         0.06048387 0.0483871  0.05645161
 0.08467742 0.06451613 0.07056452 0.0141129  0.02016129 0.        ]"
52,[0 0 0 ... 0 0 1],"[0.08571429 0.         0.01428571 0.05306122 0.07346939 0.03673469
 0.05918367 0.03061224 0.05306122 0.         0.02857143 0.1244898
 0.01632653 0.00816327 0.         0.06122449 0.04693878 0.05714286
 0.08163265 0.06326531 0.07142857 0.01428571 0.02040816 0.        ]"
53,[0 0 0 ... 0 0 1],"[0.06387226 0.         0.01596806 0.06786427 0.07185629 0.04391218
 0.05988024 0.02994012 0.06187625 0.         0.0499002  0.07185629
 0.02195609 0.04790419 0.         0.05189621 0.02794411 0.05988024
 0.10578842 0.05588822 0.04590818 0.01197605 0.03393214 0.        ]"
54,[0 0 0 ... 0 0 1],"[0.064 0.    0.016 0.068 0.072 0.044 0.06  0.03  0.062 0.    0.05  0.072
 0.022 0.048 0.    0.052 0.028 0.06  0.106 0.056 0.044 0.012 0.034 0.   ]"
55,[0 0 0 ... 0 0 1],"[0.04740406 0.         0.01580135 0.06997743 0.08126411 0.05191874
 0.02934537 0.03160271 0.06772009 0.         0.06094808 0.06546275
 0.02257336 0.06997743 0.         0.03386005 0.02031603 0.07223476
 0.08352144 0.06320542 0.06094808 0.01354402 0.03837472 0.        ]"
56,[0 0 0 ... 0 0 1],"[0.0462963  0.         0.0162037  0.06712963 0.0787037  0.05092593
 0.03240741 0.03009259 0.06481481 0.         0.0625     0.06481481
 0.02314815 0.07407407 0.         0.03703704 0.02083333 0.06944444
 0.08101852 0.0625     0.0625     0.01388889 0.04166667 0.        ]"
57,[0 0 0 ... 0 0 1],"[0.04518664 0.         0.021611   0.06090373 0.07662083 0.04911591
 0.03732809 0.03536346 0.06090373 0.         0.05304519 0.08251473
 0.021611   0.06090373 0.         0.04518664 0.02357564 0.06679764
 0.08840864 0.06286837 0.0589391  0.01571709 0.03339882 0.        ]"
58,[0 0 0 ... 0 0 1],"[0.07402597 0.         0.02337662 0.06103896 0.11948052 0.02727273
 0.05064935 0.03246753 0.03246753 0.         0.05584416 0.07142857
 0.03116883 0.04155844 0.         0.04805195 0.04675325 0.04415584
 0.04935065 0.06493506 0.08831169 0.01168831 0.02597403 0.        ]"
59,[0 0 0 ... 0 0 1],"[0.07769784 0.         0.01726619 0.0647482  0.12230216 0.02446043
 0.04316547 0.03597122 0.03453237 0.         0.05755396 0.07482014
 0.03021583 0.04028777 0.         0.04748201 0.04748201 0.04460432
 0.04460432 0.06618705 0.09064748 0.01151079 0.02446043 0.        ]"
60,[0 0 0 ... 0 0 1],"[0.055 0.    0.055 0.04  0.07  0.05  0.045 0.025 0.045 0.    0.07  0.105
 0.025 0.045 0.    0.055 0.045 0.075 0.045 0.04  0.04  0.02  0.05  0.   ]"
61,[0 0 0 ... 0 0 1],"[0.04740406 0.         0.01580135 0.06997743 0.08126411 0.05191874
 0.02934537 0.03160271 0.06772009 0.         0.06094808 0.06546275
 0.02257336 0.06997743 0.         0.03386005 0.02031603 0.07223476
 0.08352144 0.06320542 0.06094808 0.01354402 0.03837472 0.        ]"
62,[0 0 0 ... 0 0 1],"[0.04484305 0.         0.02017937 0.06278027 0.07623318 0.05381166
 0.02914798 0.03139013 0.06726457 0.         0.06053812 0.06726457
 0.02242152 0.06726457 0.         0.04035874 0.02017937 0.07174888
 0.08744395 0.06278027 0.06053812 0.01345291 0.04035874 0.        ]"
63,[0 0 0 ... 0 0 1],"[0.04705882 0.         0.01647059 0.06588235 0.07764706 0.05411765
 0.03058824 0.03058824 0.06588235 0.         0.06352941 0.06588235
 0.02352941 0.06823529 0.         0.03764706 0.02117647 0.07058824
 0.08235294 0.06352941 0.06352941 0.01411765 0.03764706 0.        ]"
64,[0 0 0 ... 0 0 1],"[0.03960396 0.         0.02722772 0.03712871 0.05693069 0.04950495
 0.07425743 0.02475248 0.07920792 0.         0.06930693 0.11633663
 0.02227723 0.02970297 0.         0.03465347 0.05940594 0.02475248
 0.07920792 0.04950495 0.07425743 0.01732673 0.03465347 0.        ]"
65,[0 0 0 ... 0 0 1],"[0.03030303 0.         0.03030303 0.04166667 0.06439394 0.06439394
 0.07575758 0.01893939 0.07575758 0.         0.0719697  0.11363636
 0.01893939 0.01893939 0.         0.03409091 0.06060606 0.02272727
 0.09090909 0.03787879 0.07575758 0.01893939 0.03409091 0.        ]"
66,[0 0 0 ... 0 0 1],"[0.04166667 0.         0.01190476 0.03571429 0.04761905 0.04166667
 0.07886905 0.01785714 0.04910714 0.         0.04761905 0.13095238
 0.0327381  0.03125    0.         0.04910714 0.03869048 0.05654762
 0.09821429 0.0610119  0.07291667 0.01636905 0.04017857 0.        ]"
67,[0 0 0 ... 0 0 1],"[0.02997859 0.         0.01070664 0.04068522 0.05567452 0.02997859
 0.07708779 0.01927195 0.03640257 0.         0.05781585 0.11349036
 0.0235546  0.03640257 0.         0.05781585 0.04925054 0.06638116
 0.11563169 0.06638116 0.07066381 0.01498929 0.02783726 0.        ]"
68,[0 0 0 ... 0 0 1],"[0.08408408 0.         0.01201201 0.06606607 0.07057057 0.02852853
 0.05705706 0.01951952 0.03003003 0.         0.07657658 0.08858859
 0.01801802 0.04204204 0.         0.13063063 0.04654655 0.03453453
 0.06306306 0.04504505 0.04804805 0.00750751 0.03153153 0.        ]"
69,[0 0 0 ... 0 0 1],"[0.08139535 0.         0.         0.10465116 0.06395349 0.02325581
 0.04651163 0.01744186 0.03488372 0.         0.01162791 0.12790698
 0.02906977 0.03488372 0.         0.12209302 0.08139535 0.01744186
 0.09302326 0.04069767 0.04069767 0.01162791 0.01744186 0.        ]"
70,[0 0 0 ... 0 0 1],"[0.08997955 0.         0.01635992 0.04907975 0.0797546  0.03476483
 0.06339468 0.02862986 0.04703476 0.         0.02862986 0.12678937
 0.01635992 0.01226994 0.         0.06748466 0.04498978 0.05316973
 0.07361963 0.0593047  0.07157464 0.01635992 0.0204499  0.        ]"
71,[0 0 0 ... 0 0 1],"[0.09482759 0.         0.01724138 0.05172414 0.07327586 0.03663793
 0.06034483 0.02586207 0.04956897 0.         0.03017241 0.12715517
 0.01508621 0.01293103 0.         0.06465517 0.04525862 0.05603448
 0.07112069 0.05603448 0.07543103 0.01508621 0.02155172 0.        ]"
72,[0 0 0 ... 0 0 1],"[0.06891496 0.         0.01173021 0.0659824  0.0659824  0.0542522
 0.05571848 0.00879765 0.05718475 0.         0.04105572 0.12316716
 0.01319648 0.0542522  0.         0.04252199 0.03519062 0.07624633
 0.06304985 0.04252199 0.09090909 0.00879765 0.02052786 0.        ]"
73,[0 0 0 ... 0 0 1],"[0.07001522 0.         0.01217656 0.06392694 0.06392694 0.05327245
 0.05631659 0.00913242 0.05631659 0.         0.03805175 0.12633181
 0.01369863 0.05327245 0.         0.04109589 0.03652968 0.07762557
 0.06544901 0.04261796 0.0913242  0.00913242 0.01978691 0.        ]"
74,[0 0 0 ... 0 0 1],"[0.06183746 0.         0.00530035 0.04063604 0.06183746 0.04946996
 0.04416961 0.0229682  0.06007067 0.         0.06890459 0.0795053
 0.02120141 0.02826855 0.         0.08657244 0.0335689  0.05830389
 0.12720848 0.05123675 0.06713781 0.00353357 0.02826855 0.        ]"
75,[0 0 0 ... 0 0 1],"[0.06134969 0.         0.00613497 0.05214724 0.07668712 0.04907975
 0.03067485 0.02760736 0.09202454 0.         0.07361963 0.10429448
 0.02453988 0.03680982 0.         0.0398773  0.03680982 0.0398773
 0.06441718 0.05521472 0.08588957 0.00613497 0.03680982 0.        ]"
76,[0 0 0 ... 0 0 1],"[0.04950495 0.         0.00594059 0.07920792 0.06732673 0.03960396
 0.07722772 0.01980198 0.05148515 0.         0.06732673 0.11089109
 0.04950495 0.03366337 0.         0.03762376 0.01782178 0.07722772
 0.08118812 0.03960396 0.05148515 0.00990099 0.03366337 0.        ]"
77,[0 0 0 ... 0 0 1],"[0.04985337 0.         0.00293255 0.08797654 0.05571848 0.04105572
 0.08211144 0.01759531 0.05571848 0.         0.06158358 0.10557185
 0.04105572 0.03225806 0.         0.03225806 0.01759531 0.08504399
 0.08211144 0.03812317 0.05865103 0.00879765 0.04398827 0.        ]"
